rank,Player,Age,team,games_played,games_started,wins,losses,goals_against,shots_against,saves,saves_pct,goals_against_avg,shutouts,goalie_point_shares,mins_played,quality_starts,quality_starts_rate,really_bad_starts,goals_against_avgleague,goals_saved_above_avg,goals,assists,points,penality_mins,date_retrieved
1,Frederik Andersen,35,CAR,8,8,6,2,11,170,159,.935,1.41,1,,468,7,.875,0,62,6.77,0,0,0,0,2025-05-14
2,Jordan Binnington,31,STL,7,7,3,4,19,192,173,.901,2.53,0,,451,5,.714,2,95,1.07,0,0,0,0,2025-05-14
3,Mackenzie Blackwood,28,COL,7,7,3,4,19,176,157,.892,2.71,1,,421,3,.429,3,103,-0.60,0,0,0,0,2025-05-14
4,Sergei Bobrovsky,36,FLA,9,9,6,3,24,215,191,.888,2.62,2,,549,4,.444,3,107,-1.52,0,0,0,0,2025-05-14
5,Eric Comrie,29,WPG,3,0,0,0,1,13,12,.923,1.40,0,,43,0,,0,74,0.36,0,0,0,0,2025-05-14
6,Casey DeSmith,33,DAL,1,0,0,0,1,14,13,.929,3.03,0,,20,0,,0,68,0.46,0,0,0,0,2025-05-14
7,Jakub Dobes,23,MTL,3,2,1,2,7,59,52,.881,2.91,0,,144,0,.000,0,113,-0.83,0,0,0,0,2025-05-14
8,Marc-André Fleury,40,MIN,1,0,0,1,1,7,6,.857,2.49,0,,24,0,,0,137,-0.27,0,0,0,0,2025-05-14
9,Filip Gustavsson,26,MIN,6,6,2,3,16,185,169,.914,2.71,0,,354,4,.667,0,83,3.34,0,0,0,0,2025-05-14
10,Connor Hellebuyck,31,WPG,11,11,5,6,37,248,211,.851,3.48,1,,638,2,.182,6,143,-11.07,0,0,0,0,2025-05-14
11,Adin Hill,28,VEG,10,10,5,5,32,259,227,.876,3.15,0,,609,5,.500,2,118,-4.92,0,0,0,0,2025-05-14
12,Pyotr Kochetkov,25,CAR,2,1,1,0,5,50,45,.900,2.50,0,,120,0,.000,0,96,0.23,0,0,0,0,2025-05-14
13,Darcy Kuemper,34,LAK,6,6,2,4,23,207,184,.889,3.74,0,,369,3,.500,2,106,-1.36,0,0,0,0,2025-05-14
14,Charlie Lindgren,31,WSH,1,0,0,0,1,5,4,.800,9.07,0,,7,0,,0,191,-0.48,0,0,0,0,2025-05-14
15,Jacob Markström,35,NJD,5,5,1,4,16,180,164,.911,2.78,0,,345,4,.800,0,85,2.82,0,0,0,0,2025-05-14
16,Sam Montembeault,28,MTL,3,3,0,2,7,76,69,.908,2.76,0,,152,2,.667,1,88,0.95,0,0,0,0,2025-05-14
17,Jake Oettinger,26,DAL,11,11,7,4,28,337,309,.917,2.55,0,,659,8,.727,1,79,7.23,0,0,0,0,2025-05-14
18,Calvin Pickard,32,EDM,7,6,6,0,19,170,151,.888,2.84,0,,401,2,.333,0,107,-1.23,0,0,0,0,2025-05-14
19,Akira Schmid,24,VEG,1,0,0,0,0,9,9,1.000,0.00,0,,19,0,,0,0,0.94,0,0,0,0,2025-05-14
20,Stuart Skinner,26,EDM,4,4,1,3,15,105,90,.857,3.95,1,,228,1,.250,3,137,-4.02,0,0,0,0,2025-05-14
21,Anthony Stolarz,31,TOR,7,7,4,2,15,151,136,.901,2.19,0,,410,5,.714,1,95,0.79,0,0,0,2,2025-05-14
22,Logan Thompson,27,WSH,9,9,5,4,22,269,247,.918,2.45,0,,538,6,.667,0,78,6.12,0,0,0,0,2025-05-14
23,Linus Ullmark,31,OTT,6,6,2,4,18,150,132,.880,2.84,1,,380,2,.333,1,115,-2.32,0,0,0,0,2025-05-14
24,Andrei Vasilevskiy,30,TBL,5,5,1,4,16,125,109,.872,3.27,0,,293,2,.400,2,122,-2.93,0,0,0,0,2025-05-14
25,Scott Wedgewood,32,COL,1,0,0,0,0,8,8,1.000,0.00,0,,19,0,,0,0,0.84,0,0,0,0,2025-05-14
26,Joseph Woll,26,TOR,4,3,2,2,13,121,108,.893,3.51,0,,222,1,.333,0,103,-0.35,0,0,0,0,2025-05-14
