rank,Player,Age,team,position,GP,goals,assists,points,plus_minus,penality_mins,even_strength_goals,power_play_goals,short_handed_goals,game_winning_goals,even_strength_assists,power_play_assists,short_handed_assists,shots_on_goal,shooting_percentage,total_ice_time,avg_total_ice_time,blocks,hits,faceoff_wins,faceoff_losses,faceoff_pct,date_retrieved
1,Sebastian Aho,27,CAR,F,6,3,5,8,1,4,0,3,0,1,3,2,0,18,16.7,133,22:12,3,22,62,46,57.4,2025-05-07
2,Alexander Alexeyev,25,WSH,D,6,0,0,0,-1,2,0,0,0,0,0,0,0,4,0.0,65,10:45,6,7,0,0,,2025-05-07
3,Michael Amadio,28,OTT,C,6,0,1,1,-2,2,0,0,0,0,1,0,0,5,0.0,99,16:32,0,22,2,0,100.0,2025-05-07
4,Josh Anderson,30,MTL,RW,5,0,1,1,-2,20,0,0,0,0,1,0,0,11,0.0,69,13:53,1,26,1,3,25.0,2025-05-07
5,Michael Anderson,25,LAK,D,6,0,1,1,-4,2,0,0,0,0,1,0,0,4,0.0,153,25:25,7,22,0,0,,2025-05-07
6,Jaret Anderson-Dolan,25,WPG,C,5,1,1,2,-1,2,1,0,0,0,1,0,0,3,33.3,42,8:20,2,19,2,0,100.0,2025-05-07
7,Mason Appleton,29,WPG,C,7,0,6,6,4,12,0,0,0,0,4,2,0,8,0.0,109,15:37,3,14,1,2,33.3,2025-05-07
8,Joel Armia,31,MTL,RW,5,0,2,2,2,2,0,0,0,0,2,0,0,4,0.0,62,12:24,0,8,0,0,,2025-05-07
9,Viktor Arvidsson,31,EDM,LW,7,1,1,2,1,4,1,0,0,0,1,0,0,17,5.9,78,11:12,0,4,3,3,50.0,2025-05-07
10,Oskar Back,24,DAL,C,6,0,2,2,-1,0,0,0,0,0,2,0,0,1,0.0,72,11:55,4,3,2,0,100.0,2025-05-07
11,Uvis Balinskis,28,FLA,D,4,1,0,1,4,2,1,0,0,0,0,0,0,2,50.0,48,12:05,6,6,0,0,,2025-05-07
12,Ivan Barbashev,29,VEG,C,7,1,1,2,-6,2,1,0,0,1,0,1,0,7,14.3,113,16:09,1,25,4,3,57.1,2025-05-07
13,Aleksander Barkov,29,FLA,C,6,1,4,5,1,2,1,0,0,0,2,2,0,14,7.1,115,19:09,6,15,58,42,58.0,2025-05-07
14,Morgan Barron,26,WPG,C,7,0,2,2,-3,0,0,0,0,0,2,0,0,9,0.0,102,14:37,1,19,33,31,51.6,2025-05-07
15,Nathan Bastian,27,NJD,RW,5,0,0,0,1,0,0,0,0,0,0,0,0,6,0.0,58,11:36,3,15,0,0,,2025-05-07
16,Drake Batherson,26,OTT,C,6,1,1,2,-4,10,1,0,0,0,0,1,0,9,11.1,105,17:29,3,27,2,2,50.0,2025-05-07
17,Anthony Beauvillier,27,WSH,LW,6,1,4,5,3,0,1,0,0,0,4,0,0,15,6.7,83,13:53,4,20,0,0,,2025-05-07
18,Jamie Benn,35,DAL,LW,7,1,1,2,-4,4,0,1,0,0,0,1,0,13,7.7,104,14:53,8,27,25,35,41.7,2025-05-07
19,Sam Bennett,28,FLA,C,6,4,2,6,1,6,4,0,0,1,2,0,0,24,16.7,98,16:15,6,26,17,31,35.4,2025-05-07
20,Simon Benoit,26,TOR,D,7,1,1,2,-2,8,1,0,0,1,1,0,0,7,14.3,126,18:00,17,21,0,0,,2025-05-07
21,Lian Bichsel,20,DAL,D,7,0,0,0,-1,14,0,0,0,0,0,0,0,5,0.0,82,11:46,3,23,0,0,,2025-05-07
22,Colin Blackwell,31,DAL,C,6,1,0,1,-2,2,1,0,0,1,0,0,0,9,11.1,67,11:13,1,18,10,12,45.5,2025-05-07
23,Jackson Blake,21,CAR,RW,6,1,3,4,2,8,1,0,0,0,3,0,0,12,8.3,122,20:18,0,7,3,2,60.0,2025-05-07
24,Zach Bogosian,34,MIN,D,6,0,1,1,1,0,0,0,0,0,0,0,1,2,0.0,78,13:00,4,6,0,0,,2025-05-07
25,Zachary Bolduc,21,STL,C,7,0,1,1,-1,16,0,0,0,0,1,0,0,7,0.0,93,13:17,2,19,0,1,0.0,2025-05-07
26,Matt Boldy,23,MIN,LW,6,5,2,7,0,2,5,0,0,1,1,1,0,20,25.0,150,25:01,5,12,1,4,20.0,2025-05-07
27,Jesper Boqvist,26,FLA,C,6,0,0,0,-3,0,0,0,0,0,0,0,0,2,0.0,45,7:29,3,12,0,2,0.0,2025-05-07
28,Evan Bouchard,25,EDM,D,7,4,5,9,0,0,2,2,0,1,5,0,0,23,17.4,181,25:49,8,4,0,0,,2025-05-07
29,Mavrik Bourque,23,DAL,C,2,0,0,0,-2,0,0,0,0,0,0,0,0,5,0.0,24,11:54,3,3,3,7,30.0,2025-05-07
30,Jesper Bratt,26,NJD,W,5,1,2,3,-5,0,1,0,0,0,2,0,0,20,5.0,117,23:23,5,6,0,0,,2025-05-07
31,Justin Brazeau,26,MIN,F,6,0,2,2,1,0,0,0,0,0,2,0,0,2,0.0,48,7:57,2,22,0,0,,2025-05-07
32,Philip Broberg,23,STL,D,7,1,1,2,9,2,1,0,0,0,1,0,0,8,12.5,155,22:07,10,4,0,0,,2025-05-07
33,Jonas Brodin,31,MIN,D,6,0,1,1,-1,0,0,0,0,0,1,0,0,4,0.0,149,24:48,11,6,0,0,,2025-05-07
34,Connor Brown,31,EDM,RW,7,4,2,6,3,2,4,0,0,0,2,0,0,13,30.8,103,14:45,3,5,3,4,42.9,2025-05-07
35,Josh Brown,31,EDM,D,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,5,4:54,3,0,0,0,,2025-05-07
36,Pavel Buchnevich,29,STL,LW,7,3,5,8,1,14,2,1,0,0,3,2,0,14,21.4,144,20:35,4,14,1,1,50.0,2025-05-07
37,Zeev Buium,19,MIN,D,4,0,1,1,-1,4,0,0,0,0,0,1,0,2,0.0,54,13:36,1,3,0,0,,2025-05-07
38,Brent Burns,39,CAR,D,6,1,1,2,0,2,1,0,0,0,1,0,0,9,11.1,140,23:22,7,4,0,0,,2025-05-07
39,Quinton Byfield,22,LAK,C,6,3,1,4,-7,2,3,0,0,0,1,0,0,18,16.7,135,22:27,2,14,36,47,43.4,2025-05-07
40,Brandon Carlo,28,TOR,D,7,0,0,0,1,4,0,0,0,0,0,0,0,6,0.0,133,19:04,15,1,0,0,,2025-05-07
41,John Carlson,35,WSH,D,6,0,2,2,7,2,0,0,0,0,1,1,0,8,0.0,146,24:20,8,3,0,0,,2025-05-07
42,Alexandre Carrier,28,MTL,D,5,1,1,2,0,0,1,0,0,0,1,0,0,8,12.5,104,20:44,15,7,0,0,,2025-05-07
43,William Carrier,30,CAR,LW,6,0,0,0,1,2,0,0,0,0,0,0,0,8,0.0,70,11:42,3,24,0,0,,2025-05-07
44,Seamus Casey,21,NJD,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,9:13,2,1,0,0,,2025-05-07
45,Cole Caufield,24,MTL,RW,5,3,1,4,-6,0,1,2,0,0,1,0,0,24,12.5,98,19:35,0,5,1,1,50.0,2025-05-07
46,Cody Ceci,31,DAL,D,7,0,3,3,0,0,0,0,0,0,3,0,0,5,0.0,162,23:05,14,12,0,0,,2025-05-07
47,Erik Černák,27,TBL,D,5,1,0,1,1,4,1,0,0,0,0,0,0,14,7.1,90,17:56,7,15,0,0,,2025-05-07
48,Thomas Chabot,28,OTT,D,6,1,3,4,1,2,1,0,0,1,2,1,0,11,9.1,150,24:58,8,8,0,0,,2025-05-07
49,Mitchell Chaffee,27,TBL,F,4,1,0,1,0,0,1,0,0,0,0,0,0,1,100.0,45,11:20,1,8,0,0,,2025-05-07
50,Jalen Chatfield,28,CAR,D,6,1,0,1,4,4,1,0,0,0,0,0,0,3,33.3,133,22:14,7,7,0,0,,2025-05-07
51,Dennis Cholowski,26,NJD,D,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,18,8:59,2,0,0,0,,2025-05-07
52,Jakob Chychrun,26,WSH,D,6,2,1,3,7,6,2,0,0,1,1,0,0,10,20.0,143,23:46,18,6,0,0,,2025-05-07
53,Anthony Cirelli,27,TBL,C,5,1,0,1,-4,18,1,0,0,0,0,0,0,5,20.0,81,16:15,8,14,33,35,48.5,2025-05-07
54,Brandt Clarke,21,LAK,D,6,2,0,2,1,0,1,1,0,0,0,0,0,6,33.3,77,12:47,6,4,0,0,,2025-05-07
55,Ross Colton,28,COL,C,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,7,7:04,0,3,1,0,100.0,2025-05-07
56,Kyle Connor,28,WPG,LW,7,4,8,12,1,0,4,0,0,2,5,3,0,22,18.2,159,22:42,4,4,0,0,,2025-05-07
57,Paul Cotter,25,NJD,C,5,0,1,1,-1,2,0,0,0,0,1,0,0,5,0.0,72,14:25,3,22,0,1,0.0,2025-05-07
58,Nick Cousins,31,OTT,C,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,47,9:20,1,14,1,1,50.0,2025-05-07
59,Charlie Coyle,32,COL,C,7,1,0,1,-4,2,1,0,0,0,0,0,0,7,14.3,90,12:50,3,23,46,34,57.5,2025-05-07
60,Dylan Cozens,23,OTT,C,6,1,1,2,-2,12,0,0,1,0,1,0,0,13,7.7,100,16:36,1,27,26,32,44.8,2025-05-07
61,Evgenii Dadonov,35,DAL,RW,7,1,1,2,-2,2,1,0,0,0,1,0,0,10,10.0,91,12:56,5,10,0,0,,2025-05-07
62,Phillip Danault,31,LAK,C,6,2,6,8,2,0,2,0,0,1,4,2,0,9,22.2,124,20:39,12,13,64,57,52.9,2025-05-07
63,Dylan DeMelo,31,WPG,D,6,1,1,2,-4,4,1,0,0,0,1,0,0,9,11.1,139,23:07,9,13,0,0,,2025-05-07
64,Ivan Demidov,19,MTL,RW,5,0,2,2,-5,0,0,0,0,0,0,2,0,2,0.0,72,14:29,2,8,0,0,,2025-05-07
65,Brenden Dillon,34,NJD,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,8:53,0,4,0,0,,2025-05-07
66,Max Domi,29,TOR,LW,7,1,1,2,0,6,1,0,0,1,1,0,0,11,9.1,95,13:30,0,12,28,23,54.9,2025-05-07
67,Pavel Dorofeyev,24,VEG,LW,5,1,1,2,-5,0,0,1,0,0,0,1,0,18,5.6,88,17:40,2,3,0,0,,2025-05-07
68,Drew Doughty,35,LAK,D,6,1,3,4,-7,6,0,1,0,0,3,0,0,10,10.0,163,27:12,7,12,0,0,,2025-05-07
69,Nic Dowd,34,WSH,C,6,0,1,1,0,4,0,0,0,0,1,0,0,7,0.0,95,15:46,12,13,43,49,46.7,2025-05-07
70,Justin Dowling,34,NJD,C,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,56,11:15,1,12,22,26,45.8,2025-05-07
71,Leon Draisaitl,29,EDM,C,7,4,8,12,7,2,3,1,0,1,5,3,0,20,20.0,159,22:45,4,9,63,52,54.8,2025-05-07
72,Jonathan Drouin,29,COL,LW,7,0,3,3,-6,0,0,0,0,0,0,3,0,9,0.0,102,14:37,4,5,4,3,57.1,2025-05-07
73,Jack Drury,24,COL,C,7,1,1,2,2,4,1,0,0,0,1,0,0,9,11.1,90,12:54,4,8,38,23,62.3,2025-05-07
74,Pierre-Luc Dubois,26,WSH,LW,6,0,2,2,4,4,0,0,0,0,2,0,0,8,0.0,102,16:58,6,15,44,38,53.7,2025-05-07
75,Matt Duchene,34,DAL,C,7,0,3,3,-6,4,0,0,0,0,0,3,0,10,0.0,123,17:33,6,4,20,18,52.6,2025-05-07
76,Brandon Duhaime,27,WSH,RW,6,3,1,4,0,10,3,0,0,0,1,0,0,9,33.3,88,14:41,13,24,1,4,20.0,2025-05-07
77,Brian Dumoulin,33,NJD,D,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,147,29:21,14,14,0,0,,2025-05-07
78,Christian Dvorak,28,MTL,C,5,2,0,2,-1,4,2,0,0,1,0,0,0,7,28.6,82,16:22,5,5,40,39,50.6,2025-05-07
79,Joel Edmundson,31,LAK,D,6,0,1,1,2,2,0,0,0,0,1,0,0,2,0.0,139,23:14,17,16,0,0,,2025-05-07
80,Nikolaj Ehlers,28,WPG,LW,2,0,1,1,-2,2,0,0,0,0,1,0,0,8,0.0,42,20:59,1,7,0,0,,2025-05-07
81,Jack Eichel,28,VEG,C,7,1,5,6,-5,0,1,0,0,0,2,2,1,21,4.8,158,22:31,8,14,49,63,43.8,2025-05-07
82,Aaron Ekblad,28,FLA,D,2,1,0,1,-3,0,1,0,0,0,0,0,0,3,33.3,43,21:16,4,6,0,0,,2025-05-07
83,Oliver Ekman-Larsson,33,TOR,D,7,2,1,3,2,2,2,0,0,0,1,0,0,8,25.0,136,19:28,7,10,0,0,,2025-05-07
84,Lars Eller,35,WSH,C,6,0,1,1,0,2,0,0,0,0,1,0,0,2,0.0,67,11:10,1,12,25,21,54.3,2025-05-07
85,Ty Emberson,24,EDM,D,7,0,0,0,1,0,0,0,0,0,0,0,0,5,0.0,71,10:11,3,11,0,0,,2025-05-07
86,Joel Eriksson Ek,28,MIN,C,6,0,3,3,0,4,0,0,0,0,2,1,0,19,0.0,132,22:00,10,8,82,71,53.6,2025-05-07
87,Jake Evans,28,MTL,C,5,0,1,1,0,2,0,0,0,0,1,0,0,4,0.0,78,15:30,2,11,36,30,54.5,2025-05-07
88,Brock Faber,22,MIN,D,6,0,0,0,2,2,0,0,0,0,0,0,0,4,0.0,162,27:04,12,4,0,0,,2025-05-07
89,Radek Faksa,31,STL,C,7,1,4,5,7,2,1,0,0,0,4,0,0,2,50.0,106,15:06,5,21,53,41,56.4,2025-05-07
